P3_DS_Arm_Mag_L,P4_DS_Arm_W,P6_DS_Arm_Th,P9_DS_Mag_H,P11_DS_Mag_W,P18_DS_Core_Gap,P19_DS_Core_R,P22_DS_Bobbin_Th,P23_DS_Coil_Th,P273_Arm_L,P69_DS_No_Turns,P60_DS_Core_Len,P61_DS_Wire_dia_mm,P62_DS_N_Len,P63_DS_N_Th,P66_DS_Capacitance,P67_DS_VCap,P190_Time_Ipeak,P191_Vcap_max,P192_Vcap_min,P193_E_per_Farad,P194_Time_1mm,P195_Time_Parting,P350_Time_1mm_Final,P351_Time_Parting_Final
8,15,1.85,3.9,3.1,1.55,1.9,0.4,1.897366596,7.85,65,6.4,0.36,14,5,0.665,48,265,0.001841715,0.001841629,0.001841629,363.1400792,134.7442474,444.846597,145.5237872
8,15,1.85,3.9,3.1,1.55,1.9,0.4,1.138419958,7.85,30,6.4,0.36,14,3,0.665,69,135,0.000800539,0.000800596,0.000800596,321.1668777,96.71693129,393.4294252,104.4542858
8,15,1.85,3.9,3.1,1.55,1.6,0.4,1.897366596,7.85,65,6.4,0.36,14,5,0.665,69,195,0.001877439,0.001877551,0.001877551,328.936934,108.3882023,402.9477442,117.0592584
8,15,1.85,3.9,3.1,1.55,1.9,0.4,1.897366596,7.85,65,6.4,0.36,14,5,0.665,69,215,0.002130395,0.00213049,0.00213049,336.0071762,111.648315,411.6087909,120.5801802
8,15,1.85,3.9,3.1,1.55,1.9,0.4,1.897366596,7.85,65,6.4,0.36,14,5,0.665,69,210,0.002146814,0.002146317,0.002146317,318.9821076,106.7094371,390.7530818,115.2461921
8,15,1.85,3.9,3.1,1.55,2.2,0.4,1.897366596,7.85,65,6.4,0.36,14,5,0.665,69,235,0.002391376,0.002390699,0.002390699,327.4093958,109.7127376,401.0765099,118.4897566
8,15,1.85,3.9,3.1,1.55,1.9,0.4,1.897366596,7.85,65,6.4,0.36,14,5,0.665,90,185,0.002430441,0.002430195,0.002430195,309.3427068,95.61418464,378.9448158,103.2633194
8,15,1.85,3.9,3.1,1.55,1.9,0.4,1.897366596,7.85,65,6.4,0.36,14,5,1,69,225,0.002172244,0.002171787,0.002171787,327.4650234,109.2740638,401.1446537,118.0159889
8,15,1.85,3.9,5,1.55,1.9,0.4,1.897366596,7.85,65,6.4,0.36,14,5,0.665,69,215,0.002134015,0.002134013,0.002134013,315.85149,123.8785153,386.9180753,133.7887965
8,15,1.85,5.8,3.1,1.55,1.9,0.4,1.897366596,7.85,65,6.4,0.36,14,5,0.665,69,210,0.002141576,0.002142192,0.002142192,326.9406349,111.5233613,400.5022777,120.4452302
8,15,2.2,3.9,3.1,1.55,1.9,0.4,1.897366596,7.85,65,6.4,0.36,14,5,0.665,69,225,0.002208633,0.002208647,0.002208647,345.1427861,121.1078394,422.799913,130.7964666
8,20,1.85,3.9,3.1,1.55,1.9,0.4,1.897366596,7.85,65,6.4,0.36,14,5,0.665,69,210,0.002159742,0.00216011,0.00216011,433.9140936,126.8440779,531.5447647,136.9916041
8.847471654,12.88132086,1.70169246,3.094901928,2.294901928,1.55,2.027120748,0.4,1.732103587,8.697471654,79.83075395,6.4,0.328643549,16,5,0.523048498,77.89845237,245,0.003105874,0.003105579,0.003105579,307.1172497,95.89053045,376.2186309,103.5617729
8.847471654,12.88132086,1.70169246,3.094901928,2.294901928,1.55,1.772879252,0.4,1.38568287,8.697471654,50.16924605,6.4,0.328643549,16,4,0.806951502,60.10154763,180,0.001390948,0.001390865,0.001390865,303.3705556,93.12105793,371.6289307,100.5707426
8.847471654,12.88132086,1.70169246,3.094901928,2.294901928,1.55,2.027120748,0.4,1.650103684,8.697471654,50.16924605,6.4,0.391356451,13,4,0.523048498,60.10154763,185,0.001635093,0.001635057,0.001635057,297.5696012,90.48192538,364.5227615,97.72047941
8.847471654,12.88132086,1.70169246,3.094901928,3.905098072,1.55,2.027120748,0.4,1.38568287,8.697471654,50.16924605,6.4,0.328643549,16,4,0.523048498,60.10154763,205,0.001527917,0.001528081,0.001528081,305.5451795,117.9701895,374.2928449,127.4078046
8.847471654,12.88132086,1.70169246,3.094901928,3.905098072,1.55,1.772879252,0.4,1.732103587,8.697471654,79.83075395,6.4,0.328643549,16,5,0.806951502,77.89845237,250,0.002907786,0.002907406,0.002907406,287.4219638,111.6443784,352.0919056,120.5759287
8.847471654,12.88132086,1.70169246,3.094901928,3.905098072,1.55,1.772879252,0.4,1.650103684,8.697471654,50.16924605,6.4,0.391356451,13,4,0.806951502,60.10154763,190,0.001480806,0.001480791,0.001480791,295.6217092,110.5980249,362.1365938,119.4458669
8.847471654,12.88132086,1.70169246,4.705098072,2.294901928,1.55,1.772879252,0.4,1.38568287,8.697471654,50.16924605,6.4,0.328643549,16,4,0.523048498,60.10154763,175,0.001362688,0.001362638,0.001362638,309.2092518,97.06253561,378.7813334,104.8275385
8.847471654,12.88132086,1.70169246,4.705098072,2.294901928,1.55,2.027120748,0.4,1.732103587,8.697471654,79.83075395,6.4,0.328643549,16,5,0.806951502,77.89845237,260,0.003180014,0.003179654,0.003179654,298.0794507,96.36427675,365.1473271,104.0734189
8.847471654,12.88132086,1.70169246,4.705098072,2.294901928,1.55,2.027120748,0.4,1.650103684,8.697471654,50.16924605,6.4,0.391356451,13,4,0.806951502,60.10154763,195,0.001661147,0.001661385,0.001661385,301.7912831,93.89510133,369.6943218,101.4067094
8.847471654,12.88132086,1.70169246,4.705098072,3.905098072,1.55,1.772879252,0.4,1.732103587,8.697471654,79.83075395,6.4,0.328643549,16,5,0.523048498,77.89845237,235,0.002833666,0.00283349,0.00283349,294.4482836,117.7784381,360.6991474,127.2007132
8.847471654,12.88132086,1.70169246,4.705098072,3.905098072,1.55,2.027120748,0.4,1.38568287,8.697471654,50.16924605,6.4,0.328643549,16,4,0.806951502,60.10154763,210,0.001563233,0.001563355,0.001563355,297.1769135,118.6357892,364.041719,128.1266523
8.847471654,12.88132086,1.70169246,4.705098072,3.905098072,1.55,1.772879252,0.4,1.650103684,8.697471654,50.16924605,6.4,0.391356451,13,4,0.523048498,60.10154763,175,0.001454536,0.001454556,0.001454556,289.4076499,111.8239139,354.5243711,120.7698271
8.847471654,12.88132086,1.99830754,3.094901928,2.294901928,1.55,1.772879252,0.4,1.732103587,8.697471654,79.83075395,6.4,0.328643549,16,5,0.523048498,60.10154763,270,0.002575265,0.002575323,0.002575323,332.9845715,116.6302747,407.9061001,125.9606967
8.847471654,12.88132086,1.99830754,3.094901928,2.294901928,1.55,2.027120748,0.4,1.38568287,8.697471654,50.16924605,6.4,0.328643549,16,4,0.806951502,77.89845237,180,0.001776079,0.001775498,0.001775498,306.1573602,90.74660023,375.0427662,98.00632825
